enhancer_constituent_id,chrom,start,end,Class,Esrrb,Klf4,4-Oct,Sox2,Nanog,OSN,Stat3,Smad3,Tcf3,Prdm14,Tcfcp2I1,Nr5a2,Med1,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Med12,p300,Pol2,CBP,Lsd1,Brg1,Brd4,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,Dnase,Tbx3,Smad1,Kap1,Ronin,Zfx,CTCF,Tfe3,cMyc,CDK8,CDK9,pct_AT,pct_GC,phastCon_verti,phastCon_placental,phasCong_Average,Ell3,TET1,Aff4,Ring1B,CapH2,REST,Utx,Ell2,SA2,TBP,CTR9,Spt5,BioYY1,SA1,Rad21,MCAF1,SetDB1,Smc3,TET2,Wdr5,NcoA3,Atrx
INT_STITCHED_45_0,chr1,13049615,13050323,SE,0.0417,0.4839,2.4071,2.2322,1.83,2.156433333,0,0.5358,0.8796,1.5489,0.8829,0.1934,0.5604,0.2018,1.4146,0.0749,0.1198,0.8354,0.0358,0.0898,0.1222,0.8594,0,0.7075,0.6773,0.2392,0.7762,0.7901,0.173,0.3476,0.5999,0.0699,0.0961,0.1623,0.1074,0,0,0,0,0.6613,0.7682,0.55226,0.44774,0.0574154,0.0574175,0.05741645,1.0818,0.5566,0.1649,0.141,0.0806,0,0.262,8.1145,0.6487,0.1489,0.5737,0.1617,0,0.1226,0,0.5352,0.2865,0.1679,0.0989,0.2794,0.0928,0
INT_STITCHED_45_1,chr1,13061206,13061924,SE,0.4979,0.0315,0.4925,0.5034,0.4613,0.485733333,0.1074,0.162,0.0472,0.1724,0.1641,0,1.3416,0.1342,0.4785,0.5477,0.2809,0.8529,0.5809,0.8735,1.3746,1.098,0.0705,0.463,0.3754,0.3475,0.6892,0.3853,0.3133,0.6304,0.2564,0,0,0.0558,0.2538,0.2565,0.1309,0.0328,0,1.6258,0.7081,0.572423,0.427577,0.128439,0.128439,0.128439,0,0.1864,0.0939,0.0253,0.2482,0,0.3136,7.3111,0,0.0341,0.2482,0.1931,0.8084,0.4107,0,0.1279,0.1176,0.2263,0.1694,0.2311,0.0087,0
INT_STITCHED_45_2,chr1,13063645,13065360,SE,1.999,0.1867,4.9473,5.2589,4.092,4.766066667,0.0971,2.4792,1.6501,5.2407,0,0.2011,1.8877,0.6214,0.7748,0.1633,0,1.7954,1.6155,0.5454,3.2193,1.7183,0.453,1.5622,0.2651,0.4961,1.1575,2.3542,1.3007,0.6111,1.3063,0.2259,0.3461,0.1025,0.0937,0.4558,0,0.0583,0,2.5607,1.1498,0.59242,0.40758,0.220057,0.230713,0.225385,0.5706,0.6639,0.3057,0.172,0.8333,0.6422,0.5611,12.942,0.1047,0.4708,0.2494,0.2538,0.7328,0.0836,0.167,0.0875,0.0794,0.1891,0.0714,0,0,0.1377
INT_STITCHED_45_3,chr1,13071010,13071067,SE,1.5431,0,0.3392,0,0,0.113066667,0,0.6964,0.2754,1.0517,0.2885,0.4231,1.059,0.9484,1.8778,0,0,0.358,0.1219,0,0,0.7964,0.7342,0.8669,0,0,0.652,1.2893,0.0698,0.2058,0.4211,0,0,0.2677,0.3021,0.6491,0,0,0.6697,1.8424,0.819,0.649123,0.350877,0.050386,0.050386,0.050386,0.7639,0,0.3568,0.2942,0.3216,0.2225,0.0482,14.2791,0.6774,0.2028,0.3052,0.2245,0.5743,0,0,0.1634,0.1731,0.226,0,0.26,0,0
INT_STITCHED_45_4,chr1,13074460,13075741,SE,1.5641,2.3268,2.5468,4.227,10.1784,5.650733333,0.5906,4.1359,2.1521,63.299,34.6054,0.1112,4.1896,1.1076,0.7386,0,0,5.3923,1.5005,0.4789,6.7089,2.9671,0.9055,3.2876,0.5792,0.9231,1.6583,1.9375,1.5435,1.0639,2.7914,0.5991,1.6391,0.157,0.2558,0.3803,0.0313,0.0814,0,3.8653,1.8325,0.548009,0.451991,0.054896,0.0549968,0.0549464,0.5817,0.224,1.5947,0.3237,1.8158,0.54,0.7891,13.4012,1.1515,1.2995,0.5565,0.4333,0.2487,0.3119,0.1063,0.3188,0.364,0.4391,0.3699,0.3834,0.1796,0.0413
INT_STITCHED_45_5,chr1,13078042,13078601,SE,0,0.0837,0.7194,1.0016,0.8878,0.8696,0.126,0.0808,0.3021,0.2627,0.2462,0,0.5761,0.0771,0.3055,0,0.16,0.2908,0.1237,0.0121,0.108,0.3583,0.3752,0.5001,0.1553,0.2744,0.3382,0.2713,0.2011,0.1047,0.3743,0.0891,0,0.173,0,0.2708,0,0,0,0.4165,0.2136,0.559928,0.440072,,0,0,0,0,0.1229,0.0925,0.4029,0,0.2616,4.2795,0.0065,0.0609,0.0343,0.0066,0,0.0336,0,0.1962,0.0954,0.1404,0.3652,0.1467,0.3871,0
INT_STITCHED_45_6,chr1,13084566,13085326,SE,0.8715,0.7652,2.2064,2.0046,0.6984,1.636466667,1.0043,1.7661,0.6902,4.0772,0.8966,0,2.5,1.7486,0.7484,0.3565,0.1333,3.1188,4.4699,2.5127,1.4123,1.9224,0.5737,3.7065,0.1327,0.5032,1.2316,1.1664,1.1787,0.8212,0.6754,0,0.2735,0.0289,0,0.4703,0,0.0659,0,3.1659,1.6991,0.540789,0.459211,0.104213,0.104216,0.1042145,1.0904,1.86,0.3051,0.24,1.843,0.1804,0.2988,5.6296,0.162,2.2752,0.367,0.5474,0.6551,0.4892,0.1174,0.1455,0.3011,0.4046,0.1576,0.4025,0,0.223
INT_STITCHED_45_7,chr1,13093990,13094765,SE,2.7074,4.2827,0.7649,0.7419,0.8422,0.783,0.1574,0.7819,0.3815,66.2888,0,0.3586,3.1467,1.853,0.3159,2.1606,0,2.12,1.9457,0.8271,2.6215,1.8422,0.6141,4.3967,0.9463,0.6005,0.7406,1.7408,1.3985,0.971,1.615,0.0974,0.4534,0.2,0,0.0742,0,0,0.2842,2.1476,0.9901,0.512258,0.487742,0.112459,0.112459,0.112459,0.3058,1.4932,0.9774,0.7747,2.3663,1.1683,0.3916,14.1224,0.5933,1.7011,0.224,0.6185,0.4737,0.0965,0.2509,0.1009,0.1431,0.2461,0.7052,0.2184,0.0227,0.2504
INT_STITCHED_88_0,chr1,34130107,34131910,SE,1.3924,1.2719,1.7038,1.6977,3.1741,2.191866667,0.396,1.9379,1.4212,0.2034,5.3734,0.1093,3.0051,3.1599,0.3469,1.4374,0.0492,4.5354,4.9752,4.1634,3.2283,2.3693,1.1075,2.6116,0.8443,0.893,1.1952,1.3527,1.7903,0.7837,1.3128,0.1632,0.2617,0.1479,0,0.2877,0,0.0725,0.1512,2.5722,1.4524,0.515807,0.484193,0.0870861,0.0815828,0.08433445,0.586,1.7778,0.3806,0.5103,2.4084,0.5255,0.3717,12.0134,0.228,0.9177,0.5694,1.0021,0.8476,1.6378,0,0.2934,0.3892,0.403,0.1349,0.3031,0.1362,0.2863
INT_STITCHED_88_1,chr1,34133846,34134640,SE,0.7565,0.8446,0.5102,0.6715,0.6776,0.619766667,0.8389,0.9429,0.9452,0.8542,11.0838,0,1.872,1.3552,0.0339,3.3182,0,2.4451,2.799,2.2727,0.5028,1.7238,0.6246,2.0754,0.4658,0.4774,0.9045,1.3879,1.3165,0.6352,1.3986,0.0522,0.1895,0.0507,0,0.13,0,0,0.5657,1.6684,1.3868,0.497481,0.502519,0.182558,0.184423,0.1834905,0.2443,1.2728,0.3205,1.0532,2.2157,0.383,0.4107,8.7588,0.0712,1.0262,0.4812,1.414,1.0262,1.0854,0.1711,0.3272,0.5796,0.3966,0,0.4351,0.5914,0.1541
