chrom,start,end,Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
chr1,13049615,13050323,SE,0.2018,1.4146,0.0749,0.1198,0.7075,0.6613,0.7682,0.8354,0.0358,0.1222,0.0898,0.8594,0,0.6773,0.2392,0.7762,0.7901,0.173,0.3476,0.5999,2.4071,2.2322,1.83,0.5358,0,0.8796,0.0417,0.4839,1.5489,0.8829,0.1934,0.55226,0.44774,0.0574154,0.0574175,0.810734463,708
chr1,13061206,13061924,SE,0.1342,0.4785,0.5477,0.2809,0.463,1.6258,0.7081,0.8529,0.5809,1.3746,0.8735,1.098,0.0705,0.3754,0.3475,0.6892,0.3853,0.3133,0.6304,0.2564,0.4925,0.5034,0.4613,0.162,0.1074,0.0472,0.4979,0.0315,0.1724,0.1641,0,0.572423,0.427577,0.128439,0.128439,0.73816156,718
chr1,13063645,13065360,SE,0.6214,0.7748,0.1633,0,1.5622,2.5607,1.1498,1.7954,1.6155,3.2193,0.5454,1.7183,0.453,0.2651,0.4961,1.1575,2.3542,1.3007,0.6111,1.3063,4.9473,5.2589,4.092,2.4792,0.0971,1.6501,1.999,0.1867,5.2407,0,0.2011,0.59242,0.40758,0.220057,0.230713,0.09271137,1715
chr1,13071010,13071067,SE,0.9484,1.8778,0,0,0.8669,1.8424,0.819,0.358,0.1219,0,0,0.7964,0.7342,0,0,0.652,1.2893,0.0698,0.2058,0.4211,0.3392,0,0,0.6964,0,0.2754,1.5431,0,1.0517,0.2885,0.4231,0.649123,0.350877,0.050386,0.050386,0,57
chr1,13074460,13075741,SE,1.1076,0.7386,0,0,3.2876,3.8653,1.8325,5.3923,1.5005,6.7089,0.4789,2.9671,0.9055,0.5792,0.9231,1.6583,1.9375,1.5435,1.0639,2.7914,2.5468,4.227,10.1784,4.1359,0.5906,2.1521,1.5641,2.3268,63.299,34.6054,0.1112,0.548009,0.451991,0.054896,0.0549968,0.231850117,1281
chr1,13078042,13078601,SE,0.0771,0.3055,0,0.16,0.5001,0.4165,0.2136,0.2908,0.1237,0.108,0.0121,0.3583,0.3752,0.1553,0.2744,0.3382,0.2713,0.2011,0.1047,0.3743,0.7194,1.0016,0.8878,0.0808,0.126,0.3021,0,0.0837,0.2627,0.2462,0,0.559928,0.440072,0,0,0.885509839,559
chr1,13084566,13085326,SE,1.7486,0.7484,0.3565,0.1333,3.7065,3.1659,1.6991,3.1188,4.4699,1.4123,2.5127,1.9224,0.5737,0.1327,0.5032,1.2316,1.1664,1.1787,0.8212,0.6754,2.2064,2.0046,0.6984,1.7661,1.0043,0.6902,0.8715,0.7652,4.0772,0.8966,0,0.540789,0.459211,0.104213,0.104216,0.857894737,760
chr1,13093990,13094765,SE,1.853,0.3159,2.1606,0,4.3967,2.1476,0.9901,2.12,1.9457,2.6215,0.8271,1.8422,0.6141,0.9463,0.6005,0.7406,1.7408,1.3985,0.971,1.615,0.7649,0.7419,0.8422,0.7819,0.1574,0.3815,2.7074,4.2827,66.2888,0,0.3586,0.512258,0.487742,0.112459,0.112459,0.081290323,775
chr1,34130107,34131910,SE,3.1599,0.3469,1.4374,0.0492,2.6116,2.5722,1.4524,4.5354,4.9752,3.2283,4.1634,2.3693,1.1075,0.8443,0.893,1.1952,1.3527,1.7903,0.7837,1.3128,1.7038,1.6977,3.1741,1.9379,0.396,1.4212,1.3924,1.2719,0.2034,5.3734,0.1093,0.515807,0.484193,0.0870861,0.0815828,0,1803
chr1,34133846,34134640,SE,1.3552,0.0339,3.3182,0,2.0754,1.6684,1.3868,2.4451,2.799,0.5028,2.2727,1.7238,0.6246,0.4658,0.4774,0.9045,1.3879,1.3165,0.6352,1.3986,0.5102,0.6715,0.6776,0.9429,0.8389,0.9452,0.7565,0.8446,0.8542,11.0838,0,0.497481,0.502519,0.182558,0.184423,0.059193955,794
